nameOrig,customer_age,account_type,region,tenure_years,credit_score,avg_monthly_trans,device_type,kyc_verified
C3996840415,43,Savings,North,15.3,693,38.1,Web,False
C5321118252,57,Savings,South,18.8,704,25.7,Branch,True
C1433539154,18,Checking,North,4.3,748,181.8,Web,True
C6335342459,43,Business,North,15.4,430,199.5,Branch,True
C8344866777,45,Checking,West,0.4,368,37.0,Branch,True
C3864117943,26,Savings,North,13.4,644,15.6,Mobile,True
C5949217911,61,Checking,West,9.4,619,69.3,Mobile,True
C6438150198,39,Savings,South,6.9,476,95.0,Mobile,False
C9684539509,25,Checking,West,17.2,828,44.9,Web,True
C3505071846,66,Business,South,17.1,459,63.8,Web,True
C4617353510,59,Checking,South,0.4,832,44.2,Mobile,False
C3357853072,44,Business,South,12.2,434,156.0,Web,True
C1941774493,56,Business,North,7.4,410,144.0,Web,True
C1144608012,36,Checking,West,8.3,582,128.8,Branch,True
C1921820562,42,Business,East,16.6,819,80.5,Web,False
C2787227922,55,Business,North,6.2,493,182.3,Branch,False
C4262506264,38,Savings,South,18.9,346,194.1,Mobile,False
C6101746206,41,Savings,East,3.6,641,38.9,Web,True
C4091480758,41,Business,North,13.3,541,48.5,Branch,True
C7244654153,36,Checking,East,13.4,821,107.5,Web,True
C8822990819,67,Business,South,5.0,669,22.8,Branch,True
C7284278961,64,Checking,East,6.5,430,90.1,Branch,False
C7714274845,19,Savings,East,16.7,569,118.4,Web,True
C4937590330,31,Checking,South,15.2,360,106.8,Mobile,True
C7019163147,49,Business,East,6.6,463,69.5,Branch,True
C9083094817,59,Business,North,10.7,824,110.8,Mobile,True
C8833067255,49,Business,East,1.2,571,192.0,Web,True
C8394737790,45,Business,West,4.2,432,45.2,Web,True
C8657998172,65,Business,North,9.7,543,132.7,Mobile,True
C8366035217,56,Checking,East,1.7,733,13.5,Web,True
C9142084304,57,Business,West,16.9,337,18.0,Branch,True
C7300579591,59,Savings,West,14.4,618,112.6,Mobile,True
C2461881221,64,Business,West,18.9,809,25.5,Web,False
C5039195563,57,Checking,East,13.9,675,9.4,Web,True
C1355260223,30,Business,South,18.8,773,38.4,Mobile,False
C4998130843,29,Business,West,11.1,358,115.1,Branch,True
C1558044778,25,Checking,South,12.0,798,142.2,Mobile,True
C2814127698,32,Business,North,19.5,517,44.5,Web,True
C2620549829,43,Checking,South,12.8,428,135.3,Web,True
C1498313616,29,Business,South,0.6,682,40.6,Mobile,True
C5476608982,60,Savings,South,14.5,687,124.6,Branch,True
C7720030620,68,Business,South,18.1,384,85.3,Branch,True
C4995053883,63,Checking,South,15.9,809,132.5,Branch,True
C5892465326,44,Savings,North,11.7,736,199.0,Mobile,True
C4760292074,35,Checking,North,13.4,592,187.9,Branch,True
C1785151076,62,Business,South,19.8,348,5.8,Branch,True
C2195888151,53,Savings,South,1.8,366,177.7,Branch,True
C3903862723,66,Checking,West,13.3,428,18.0,Branch,True
C6450176200,68,Savings,North,5.7,328,190.8,Web,True
C3041855827,44,Savings,East,12.8,642,60.0,Mobile,False
C5745114512,26,Checking,North,12.2,844,79.5,Mobile,True
C3141345269,56,Savings,East,3.1,418,22.9,Branch,False
